"Pressure","Velocity:0","Velocity:1","Velocity:2","Nu_Tilde","Pressure_Coefficient","Density","Laminar_Viscosity","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Heat_Flux","Y_Plus","Eddy_Viscosity","Points:0","Points:1","Points:2"
0.101,0,0,0,0,0.202,1,1.67e-07,1.33e-14,6.72e-05,0,-0,35.3,0,1,5.35e-08,0
0.11,0,0,0,0,0.22,1,1.67e-07,0.00185,0.000262,0,-0,0.152,0,0.999,-0.000142,0
0.106,0,0,0,0,0.212,1,1.67e-07,0.00208,0.000295,0,-0,0.161,0,0.998,-0.000288,0
0.102,0,0,0,0,0.204,1,1.67e-07,0.00201,0.000283,0,-0,0.158,0,0.997,-0.00044,0
0.0988,0,0,0,0,0.198,1,1.67e-07,0.00191,0.00027,0,-0,0.154,0,0.996,-0.000597,0
0.0964,0,0,0,0,0.193,1,1.67e-07,0.00186,0.000262,0,-0,0.152,0,0.995,-0.000759,0
0.0945,0,0,0,0,0.189,1,1.67e-07,0.00185,0.00026,0,-0,0.151,0,0.993,-0.000927,0
0.0928,0,0,0,0,0.186,1,1.67e-07,0.00187,0.000263,0,-0,0.152,0,0.992,-0.0011,0
0.0914,0,0,0,0,0.183,1,1.67e-07,0.0019,0.000267,0,-0,0.153,0,0.991,-0.00128,0
0.09,0,0,0,0,0.18,1,1.67e-07,0.00193,0.00027,0,-0,0.154,0,0.99,-0.00147,0
0.0886,0,0,0,0,0.177,1,1.67e-07,0.00196,0.000274,0,-0,0.155,0,0.988,-0.00166,0
0.0873,0,0,0,0,0.175,1,1.67e-07,0.00198,0.000277,0,-0,0.156,0,0.987,-0.00186,0
0.086,0,0,0,0,0.172,1,1.67e-07,0.002,0.000279,0,-0,0.157,0,0.985,-0.00206,0
0.0848,0,0,0,0,0.17,1,1.67e-07,0.00202,0.000281,0,-0,0.158,0,0.984,-0.00227,0
0.0836,0,0,0,0,0.167,1,1.67e-07,0.00204,0.000283,0,-0,0.158,0,0.982,-0.00249,0
0.0824,0,0,0,0,0.165,1,1.67e-07,0.00206,0.000285,0,-0,0.159,0,0.981,-0.00272,0
0.0813,0,0,0,0,0.163,1,1.67e-07,0.00208,0.000287,0,-0,0.16,0,0.979,-0.00295,0
0.0802,0,0,0,0,0.16,1,1.67e-07,0.00209,0.000289,0,-0,0.16,0,0.977,-0.00319,0
0.0791,0,0,0,0,0.158,1,1.67e-07,0.00211,0.00029,0,-0,0.161,0,0.975,-0.00344,0
0.078,0,0,0,0,0.156,1,1.67e-07,0.00213,0.000292,0,-0,0.161,0,0.974,-0.0037,0
0.077,0,0,0,0,0.154,1,1.67e-07,0.00214,0.000293,0,-0,0.162,0,0.972,-0.00396,0
0.076,0,0,0,0,0.152,1,1.67e-07,0.00216,0.000295,0,-0,0.162,0,0.97,-0.00424,0
0.075,0,0,0,0,0.15,1,1.67e-07,0.00217,0.000296,0,-0,0.163,0,0.968,-0.00452,0
0.0741,0,0,0,0,0.148,1,1.67e-07,0.00218,0.000297,0,-0,0.163,0,0.965,-0.00481,0
0.0731,0,0,0,0,0.146,1,1.67e-07,0.0022,0.000298,0,-0,0.164,0,0.963,-0.00511,0
0.0722,0,0,0,0,0.144,1,1.67e-07,0.00221,0.000299,0,-0,0.164,0,0.961,-0.00542,0
0.0713,0,0,0,0,0.143,1,1.67e-07,0.00222,0.0003,0,-0,0.165,0,0.959,-0.00574,0
0.0704,0,0,0,0,0.141,1,1.67e-07,0.00224,0.000301,0,-0,0.165,0,0.956,-0.00606,0
0.0696,0,0,0,0,0.139,1,1.67e-07,0.00225,0.000301,0,-0,0.166,0,0.954,-0.0064,0
0.0688,0,0,0,0,0.138,1,1.67e-07,0.00226,0.000302,0,-0,0.166,0,0.951,-0.00675,0
0.0679,0,0,0,0,0.136,1,1.67e-07,0.00227,0.000303,0,-0,0.166,0,0.948,-0.00711,0
0.0671,0,0,0,0,0.134,1,1.67e-07,0.00229,0.000303,0,-0,0.167,0,0.946,-0.00748,0
0.0664,0,0,0,0,0.133,1,1.67e-07,0.0023,0.000304,0,-0,0.167,0,0.943,-0.00786,0
0.0656,0,0,0,0,0.131,1,1.67e-07,0.00231,0.000304,0,-0,0.168,0,0.94,-0.00825,0
0.0649,0,0,0,0,0.13,1,1.67e-07,0.00232,0.000304,0,-0,0.168,0,0.937,-0.00865,0
0.0641,0,0,0,0,0.128,1,1.67e-07,0.00233,0.000305,0,-0,0.168,0,0.933,-0.00906,0
0.0635,0,0,0,0,0.127,1,1.67e-07,0.00234,0.000305,0,-0,0.169,0,0.93,-0.00948,0
0.0628,0,0,0,0,0.126,1,1.67e-07,0.00235,0.000305,0,-0,0.169,0,0.927,-0.00992,0
0.0621,0,0,0,0,0.124,1,1.67e-07,0.00236,0.000305,0,-0,0.169,0,0.923,-0.0104,0
0.0615,0,0,0,0,0.123,1,1.67e-07,0.00237,0.000305,0,-0,0.17,0,0.92,-0.0108,0
0.0609,0,0,0,0,0.122,1,1.67e-07,0.00238,0.000305,0,-0,0.17,0,0.916,-0.0113,0
0.0603,0,0,0,0,0.121,1,1.67e-07,0.00239,0.000305,0,-0,0.17,0,0.912,-0.0118,0
0.0597,0,0,0,0,0.119,1,1.67e-07,0.0024,0.000305,0,-0,0.171,0,0.909,-0.0123,0
0.0591,0,0,0,0,0.118,1,1.67e-07,0.00241,0.000305,0,-0,0.171,0,0.905,-0.0128,0
0.0586,0,0,0,0,0.117,1,1.67e-07,0.00242,0.000304,0,-0,0.171,0,0.9,-0.0133,0
0.0581,0,0,0,0,0.116,1,1.67e-07,0.00243,0.000304,0,-0,0.172,0,0.896,-0.0138,0
0.0576,0,0,0,0,0.115,1,1.67e-07,0.00244,0.000304,0,-0,0.172,0,0.892,-0.0144,0
0.0571,0,0,0,0,0.114,1,1.67e-07,0.00245,0.000303,0,-0,0.172,0,0.887,-0.0149,0
0.0567,0,0,0,0,0.113,1,1.67e-07,0.00246,0.000303,0,-0,0.172,0,0.883,-0.0155,0
0.0563,0,0,0,0,0.113,1,1.67e-07,0.00246,0.000302,0,-0,0.173,0,0.878,-0.0161,0
0.0559,0,0,0,0,0.112,1,1.67e-07,0.00247,0.000301,0,-0,0.173,0,0.873,-0.0167,0
0.0555,0,0,0,0,0.111,1,1.67e-07,0.00248,0.0003,0,-0,0.173,0,0.868,-0.0173,0
0.0551,0,0,0,0,0.11,1,1.67e-07,0.00249,0.0003,0,-0,0.173,0,0.863,-0.0179,0
0.0548,0,0,0,0,0.11,1,1.67e-07,0.0025,0.000299,0,-0,0.174,0,0.858,-0.0185,0
0.0545,0,0,0,0,0.109,1,1.67e-07,0.00251,0.000298,0,-0,0.174,0,0.853,-0.0192,0
0.0542,0,0,0,0,0.108,1,1.67e-07,0.00251,0.000297,0,-0,0.174,0,0.847,-0.0198,0
0.054,0,0,0,0,0.108,1,1.67e-07,0.00252,0.000296,0,-0,0.175,0,0.841,-0.0205,0
0.0538,0,0,0,0,0.108,1,1.67e-07,0.00253,0.000295,0,-0,0.175,0,0.836,-0.0212,0
0.0536,0,0,0,0,0.107,1,1.67e-07,0.00254,0.000293,0,-0,0.175,0,0.83,-0.0218,0
0.0534,0,0,0,0,0.107,1,1.67e-07,0.00254,0.000292,0,-0,0.175,0,0.823,-0.0225,0
0.0533,0,0,0,0,0.107,1,1.67e-07,0.00255,0.000291,0,-0,0.175,0,0.817,-0.0233,0
0.0532,0,0,0,0,0.106,1,1.67e-07,0.00256,0.00029,0,-0,0.176,0,0.811,-0.024,0
0.0531,0,0,0,0,0.106,1,1.67e-07,0.00257,0.000288,0,-0,0.176,0,0.804,-0.0247,0
0.053,0,0,0,0,0.106,1,1.67e-07,0.00257,0.000287,0,-0,0.176,0,0.798,-0.0255,0
0.053,0,0,0,0,0.106,1,1.67e-07,0.00258,0.000285,0,-0,0.176,0,0.791,-0.0262,0
0.053,0,0,0,0,0.106,1,1.67e-07,0.00259,0.000283,0,-0,0.177,0,0.784,-0.027,0
0.053,0,0,0,0,0.106,1,1.67e-07,0.00259,0.000282,0,-0,0.177,0,0.777,-0.0278,0
0.0531,0,0,0,0,0.106,1,1.67e-07,0.0026,0.00028,0,-0,0.177,0,0.77,-0.0285,0
0.0531,0,0,0,0,0.106,1,1.67e-07,0.00261,0.000278,0,-0,0.177,0,0.762,-0.0293,0
0.0533,0,0,0,0,0.107,1,1.67e-07,0.00261,0.000276,0,-0,0.177,0,0.755,-0.0301,0
0.0534,0,0,0,0,0.107,1,1.67e-07,0.00262,0.000274,0,-0,0.178,0,0.747,-0.0309,0
0.0536,0,0,0,0,0.107,1,1.67e-07,0.00263,0.000272,0,-0,0.178,0,0.739,-0.0317,0
0.0538,0,0,0,0,0.108,1,1.67e-07,0.00263,0.00027,0,-0,0.178,0,0.732,-0.0325,0
0.054,0,0,0,0,0.108,1,1.67e-07,0.00264,0.000268,0,-0,0.178,0,0.724,-0.0334,0
0.0543,0,0,0,0,0.109,1,1.67e-07,0.00264,0.000265,0,-0,0.178,0,0.715,-0.0342,0
0.0546,0,0,0,0,0.109,1,1.67e-07,0.00265,0.000263,0,-0,0.179,0,0.707,-0.035,0
0.0549,0,0,0,0,0.11,1,1.67e-07,0.00266,0.00026,0,-0,0.179,0,0.699,-0.0358,0
0.0553,0,0,0,0,0.111,1,1.67e-07,0.00266,0.000258,0,-0,0.179,0,0.69,-0.0367,0
0.0557,0,0,0,0,0.111,1,1.67e-07,0.00267,0.000255,0,-0,0.179,0,0.682,-0.0375,0
0.0561,0,0,0,0,0.112,1,1.67e-07,0.00268,0.000252,0,-0,0.179,0,0.673,-0.0383,0
0.0566,0,0,0,0,0.113,1,1.67e-07,0.00268,0.000249,0,-0,0.18,0,0.664,-0.0392,0
0.0571,0,0,0,0,0.114,1,1.67e-07,0.00269,0.000246,0,-0,0.18,0,0.655,-0.04,0
0.0577,0,0,0,0,0.115,1,1.67e-07,0.00269,0.000243,0,-0,0.18,0,0.646,-0.0408,0
0.0583,0,0,0,0,0.117,1,1.67e-07,0.0027,0.00024,0,-0,0.18,0,0.637,-0.0416,0
0.0589,0,0,0,0,0.118,1,1.67e-07,0.00271,0.000237,0,-0,0.18,0,0.628,-0.0424,0
0.0596,0,0,0,0,0.119,1,1.67e-07,0.00271,0.000233,0,-0,0.181,0,0.618,-0.0432,0
0.0603,0,0,0,0,0.121,1,1.67e-07,0.00272,0.00023,0,-0,0.181,0,0.609,-0.044,0
0.061,0,0,0,0,0.122,1,1.67e-07,0.00273,0.000226,0,-0,0.181,0,0.599,-0.0448,0
0.0618,0,0,0,0,0.124,1,1.67e-07,0.00273,0.000222,0,-0,0.181,0,0.59,-0.0456,0
0.0627,0,0,0,0,0.125,1,1.67e-07,0.00274,0.000218,0,-0,0.181,0,0.58,-0.0464,0
0.0636,0,0,0,0,0.127,1,1.67e-07,0.00274,0.000214,0,-0,0.181,0,0.571,-0.0472,0
0.0645,0,0,0,0,0.129,1,1.67e-07,0.00275,0.00021,0,-0,0.182,0,0.561,-0.0479,0
0.0655,0,0,0,0,0.131,1,1.67e-07,0.00276,0.000205,0,-0,0.182,0,0.551,-0.0486,0
0.0666,0,0,0,0,0.133,1,1.67e-07,0.00276,0.0002,0,-0,0.182,0,0.542,-0.0493,0
0.0677,0,0,0,0,0.135,1,1.67e-07,0.00277,0.000196,0,-0,0.182,0,0.532,-0.05,0
0.0689,0,0,0,0,0.138,1,1.67e-07,0.00277,0.000191,0,-0,0.182,0,0.522,-0.0507,0
0.0701,0,0,0,0,0.14,1,1.67e-07,0.00278,0.000185,0,-0,0.183,0,0.512,-0.0514,0
0.0714,0,0,0,0,0.143,1,1.67e-07,0.00279,0.00018,0,-0,0.183,0,0.502,-0.052,0
0.0728,0,0,0,0,0.146,1,1.67e-07,0.00279,0.000174,0,-0,0.183,0,0.492,-0.0527,0
0.0742,0,0,0,0,0.148,1,1.67e-07,0.0028,0.000168,0,-0,0.183,0,0.483,-0.0533,0
0.0758,0,0,0,0,0.152,1,1.67e-07,0.0028,0.000162,0,-0,0.183,0,0.473,-0.0538,0
