"Pressure","Velocity:0","Velocity:1","Velocity:2","Nu_Tilde","Pressure_Coefficient","Density","Laminar_Viscosity","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Heat_Flux","Y_Plus","Eddy_Viscosity","Points:0","Points:1","Points:2"
0.0994,0,0,0,0,0.199,1,1.67e-07,0,-0.001,0,-0,0.122,0,0.75,0,0
0.0963,0,0,0,0,0.193,1,1.67e-07,0.00206,0.000299,0,-0,3.77,0,0.75,-5.39e-06,0
0.094,0,0,0,0,0.188,1,1.67e-07,0.00195,0.000284,0,-0,3,0,0.75,-2.15e-05,0
0.0936,0,0,0,0,0.187,1,1.67e-07,0.00186,0.000271,0,-0,2.39,0,0.75,-4.85e-05,0
0.0933,0,0,0,0,0.187,1,1.67e-07,0.00183,0.000266,0,-0,1.97,0,0.749,-8.62e-05,0
0.0928,0,0,0,0,0.186,1,1.67e-07,0.00184,0.000266,0,-0,1.71,0,0.749,-0.000135,0
0.0922,0,0,0,0,0.184,1,1.67e-07,0.00185,0.000268,0,-0,1.57,0,0.749,-0.000194,0
0.0915,0,0,0,0,0.183,1,1.67e-07,0.00187,0.000271,0,-0,1.51,0,0.748,-0.000264,0
0.0907,0,0,0,0,0.181,1,1.67e-07,0.00188,0.000273,0,-0,1.47,0,0.748,-0.000344,0
0.0899,0,0,0,0,0.18,1,1.67e-07,0.0019,0.000275,0,-0,1.46,0,0.747,-0.000435,0
0.089,0,0,0,0,0.178,1,1.67e-07,0.00192,0.000277,0,-0,1.47,0,0.746,-0.000537,0
0.0881,0,0,0,0,0.176,1,1.67e-07,0.00194,0.00028,0,-0,1.47,0,0.746,-0.000649,0
0.0872,0,0,0,0,0.174,1,1.67e-07,0.00195,0.000282,0,-0,1.49,0,0.745,-0.000772,0
0.0862,0,0,0,0,0.172,1,1.67e-07,0.00197,0.000284,0,-0,1.5,0,0.744,-0.000905,0
0.0852,0,0,0,0,0.17,1,1.67e-07,0.00199,0.000286,0,-0,1.52,0,0.743,-0.00105,0
0.0842,0,0,0,0,0.168,1,1.67e-07,0.002,0.000288,0,-0,1.54,0,0.742,-0.0012,0
0.0832,0,0,0,0,0.166,1,1.67e-07,0.00202,0.00029,0,-0,1.55,0,0.741,-0.00137,0
0.0822,0,0,0,0,0.164,1,1.67e-07,0.00203,0.000292,0,-0,1.57,0,0.739,-0.00154,0
0.0812,0,0,0,0,0.162,1,1.67e-07,0.00205,0.000293,0,-0,1.59,0,0.738,-0.00173,0
0.0802,0,0,0,0,0.16,1,1.67e-07,0.00207,0.000295,0,-0,1.61,0,0.737,-0.00192,0
0.0791,0,0,0,0,0.158,1,1.67e-07,0.00208,0.000297,0,-0,1.63,0,0.735,-0.00212,0
0.0781,0,0,0,0,0.156,1,1.67e-07,0.0021,0.000298,0,-0,1.64,0,0.734,-0.00234,0
0.0771,0,0,0,0,0.154,1,1.67e-07,0.00211,0.0003,0,-0,1.66,0,0.732,-0.00256,0
0.0761,0,0,0,0,0.152,1,1.67e-07,0.00213,0.000301,0,-0,1.67,0,0.731,-0.0028,0
0.0752,0,0,0,0,0.15,1,1.67e-07,0.00214,0.000303,0,-0,1.69,0,0.729,-0.00304,0
0.0742,0,0,0,0,0.148,1,1.67e-07,0.00215,0.000304,0,-0,1.7,0,0.727,-0.00329,0
0.0732,0,0,0,0,0.146,1,1.67e-07,0.00217,0.000305,0,-0,1.72,0,0.725,-0.00355,0
0.0723,0,0,0,0,0.145,1,1.67e-07,0.00218,0.000306,0,-0,1.73,0,0.723,-0.00383,0
0.0714,0,0,0,0,0.143,1,1.67e-07,0.0022,0.000308,0,-0,1.74,0,0.721,-0.00411,0
0.0704,0,0,0,0,0.141,1,1.67e-07,0.00221,0.000309,0,-0,1.76,0,0.719,-0.0044,0
0.0696,0,0,0,0,0.139,1,1.67e-07,0.00222,0.00031,0,-0,1.77,0,0.717,-0.00469,0
0.0687,0,0,0,0,0.137,1,1.67e-07,0.00223,0.00031,0,-0,1.78,0,0.715,-0.005,0
0.0678,0,0,0,0,0.136,1,1.67e-07,0.00225,0.000311,0,-0,1.79,0,0.713,-0.00532,0
0.067,0,0,0,0,0.134,1,1.67e-07,0.00226,0.000312,0,-0,1.8,0,0.71,-0.00564,0
0.0662,0,0,0,0,0.132,1,1.67e-07,0.00227,0.000313,0,-0,1.81,0,0.708,-0.00598,0
