"Pressure","Velocity:0","Velocity:1","Velocity:2","Nu_Tilde","Pressure_Coefficient","Density","Laminar_Viscosity","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Heat_Flux","Y_Plus","Eddy_Viscosity","Points:0","Points:1","Points:2"
-0.44,0,0,0,0,-0.88,1,1.67e-07,0,0.00207,0,-0,0.117,0,0.75,0,0
0.0733,0,0,0,0,0.147,1,1.67e-07,0.00605,0.000879,0,-0,1.59,0,0.75,-3.14e-06,0
0.0844,0,0,0,0,0.169,1,1.67e-07,0.00314,0.000456,0,-0,2.13,0,0.75,-1.26e-05,0
0.0786,0,0,0,0,0.157,1,1.67e-07,0.00225,0.000327,0,-0,2.54,0,0.75,-2.82e-05,0
0.0769,0,0,0,0,0.154,1,1.67e-07,0.00197,0.000286,0,-0,2.95,0,0.75,-5.02e-05,0
0.0764,0,0,0,0,0.153,1,1.67e-07,0.0019,0.000277,0,-0,3.37,0,0.749,-7.84e-05,0
0.0762,0,0,0,0,0.152,1,1.67e-07,0.00192,0.000279,0,-0,3.77,0,0.749,-0.000113,0
0.0762,0,0,0,0,0.152,1,1.67e-07,0.00196,0.000285,0,-0,4.11,0,0.749,-0.000154,0
0.0762,0,0,0,0,0.152,1,1.67e-07,0.002,0.00029,0,-0,4.4,0,0.749,-0.000201,0
0.076,0,0,0,0,0.152,1,1.67e-07,0.00203,0.000294,0,-0,4.64,0,0.748,-0.000254,0
0.0758,0,0,0,0,0.152,1,1.67e-07,0.00204,0.000296,0,-0,4.84,0,0.748,-0.000313,0
0.0755,0,0,0,0,0.151,1,1.67e-07,0.00206,0.000298,0,-0,5.01,0,0.747,-0.000379,0
0.0751,0,0,0,0,0.15,1,1.67e-07,0.00207,0.000299,0,-0,5.15,0,0.747,-0.000451,0
0.0747,0,0,0,0,0.149,1,1.67e-07,0.00208,0.000301,0,-0,5.28,0,0.746,-0.000529,0
0.0742,0,0,0,0,0.148,1,1.67e-07,0.00209,0.000302,0,-0,5.39,0,0.746,-0.000613,0
0.0737,0,0,0,0,0.147,1,1.67e-07,0.0021,0.000303,0,-0,5.49,0,0.745,-0.000703,0
0.0732,0,0,0,0,0.146,1,1.67e-07,0.00211,0.000304,0,-0,5.58,0,0.744,-0.000799,0
0.0727,0,0,0,0,0.145,1,1.67e-07,0.00212,0.000306,0,-0,5.66,0,0.744,-0.000902,0
0.0722,0,0,0,0,0.144,1,1.67e-07,0.00213,0.000307,0,-0,5.73,0,0.743,-0.00101,0
0.0717,0,0,0,0,0.143,1,1.67e-07,0.00214,0.000308,0,-0,5.79,0,0.742,-0.00112,0
0.0711,0,0,0,0,0.142,1,1.67e-07,0.00215,0.000309,0,-0,5.84,0,0.741,-0.00125,0
0.0705,0,0,0,0,0.141,1,1.67e-07,0.00216,0.00031,0,-0,5.89,0,0.741,-0.00137,0
0.07,0,0,0,0,0.14,1,1.67e-07,0.00217,0.000311,0,-0,5.93,0,0.74,-0.0015,0
0.0694,0,0,0,0,0.139,1,1.67e-07,0.00218,0.000312,0,-0,5.97,0,0.739,-0.00164,0
0.0688,0,0,0,0,0.138,1,1.67e-07,0.00219,0.000313,0,-0,6,0,0.738,-0.00179,0
0.0682,0,0,0,0,0.136,1,1.67e-07,0.0022,0.000314,0,-0,6.04,0,0.737,-0.00194,0
0.0676,0,0,0,0,0.135,1,1.67e-07,0.00221,0.000315,0,-0,6.06,0,0.735,-0.00209,0
0.067,0,0,0,0,0.134,1,1.67e-07,0.00222,0.000316,0,-0,6.09,0,0.734,-0.00225,0
0.0664,0,0,0,0,0.133,1,1.67e-07,0.00223,0.000317,0,-0,6.11,0,0.733,-0.00242,0
0.0658,0,0,0,0,0.132,1,1.67e-07,0.00224,0.000317,0,-0,6.14,0,0.732,-0.00259,0
0.0652,0,0,0,0,0.13,1,1.67e-07,0.00224,0.000318,0,-0,6.16,0,0.731,-0.00277,0
0.0646,0,0,0,0,0.129,1,1.67e-07,0.00225,0.000319,0,-0,6.17,0,0.729,-0.00296,0
0.0641,0,0,0,0,0.128,1,1.67e-07,0.00226,0.00032,0,-0,6.19,0,0.728,-0.00315,0
0.0635,0,0,0,0,0.127,1,1.67e-07,0.00227,0.00032,0,-0,6.21,0,0.727,-0.00334,0
0.0629,0,0,0,0,0.126,1,1.67e-07,0.00228,0.000321,0,-0,6.23,0,0.725,-0.00354,0
0.0623,0,0,0,0,0.125,1,1.67e-07,0.00229,0.000322,0,-0,6.24,0,0.724,-0.00375,0
0.0617,0,0,0,0,0.123,1,1.67e-07,0.0023,0.000322,0,-0,6.26,0,0.722,-0.00396,0
0.0612,0,0,0,0,0.122,1,1.67e-07,0.0023,0.000323,0,-0,6.27,0,0.721,-0.00418,0
0.0606,0,0,0,0,0.121,1,1.67e-07,0.00231,0.000323,0,-0,6.28,0,0.719,-0.0044,0
0.06,0,0,0,0,0.12,1,1.67e-07,0.00232,0.000324,0,-0,6.3,0,0.718,-0.00463,0
0.0595,0,0,0,0,0.119,1,1.67e-07,0.00233,0.000324,0,-0,6.31,0,0.716,-0.00486,0
0.059,0,0,0,0,0.118,1,1.67e-07,0.00234,0.000324,0,-0,6.32,0,0.714,-0.00509,0
0.0584,0,0,0,0,0.117,1,1.67e-07,0.00234,0.000325,0,-0,6.33,0,0.712,-0.00534,0
0.0579,0,0,0,0,0.116,1,1.67e-07,0.00235,0.000325,0,-0,6.34,0,0.711,-0.00558,0
0.0574,0,0,0,0,0.115,1,1.67e-07,0.00236,0.000325,0,-0,6.36,0,0.709,-0.00584,0
0.0569,0,0,0,0,0.114,1,1.67e-07,0.00237,0.000326,0,-0,6.37,0,0.707,-0.00609,0
