"Pressure","Velocity:0","Velocity:1","Velocity:2","Nu_Tilde","Pressure_Coefficient","Density","Laminar_Viscosity","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Heat_Flux","Y_Plus","Eddy_Viscosity","Points:0","Points:1","Points:2"
-2.637502e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-5.275003e-01,1.000000e+00,1.666669e-07,-9.649553e-06,-3.601263e-05,0.000000e+00,-0.000000e+00,8.441841e+01,0.000000e+00,9.981852e-01,0.000000e+00,0.000000e+00
-2.801623e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-5.603246e-01,1.000000e+00,1.666669e-07,2.765736e-04,-3.265630e-05,0.000000e+00,-0.000000e+00,1.409057e+02,0.000000e+00,9.981471e-01,4.497047e-06,0.000000e+00
-2.621238e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-5.242475e-01,1.000000e+00,1.666669e-07,2.382404e-04,-2.815552e-05,0.000000e+00,-0.000000e+00,1.030635e+02,0.000000e+00,9.980328e-01,1.799266e-05,0.000000e+00
-2.297895e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.595789e-01,1.000000e+00,1.666669e-07,2.070336e-04,-2.450417e-05,0.000000e+00,-0.000000e+00,8.721658e+01,0.000000e+00,9.978424e-01,4.050017e-05,0.000000e+00
-2.023295e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.046590e-01,1.000000e+00,1.666669e-07,1.878901e-04,-2.228487e-05,0.000000e+00,-0.000000e+00,8.134283e+01,0.000000e+00,9.975761e-01,7.204164e-05,0.000000e+00
-1.863372e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.726745e-01,1.000000e+00,1.666669e-07,1.760643e-04,-2.093804e-05,0.000000e+00,-0.000000e+00,7.975692e+01,0.000000e+00,9.972341e-01,1.126475e-04,0.000000e+00
-1.787108e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.574216e-01,1.000000e+00,1.666669e-07,1.683690e-04,-2.008777e-05,0.000000e+00,-0.000000e+00,8.002903e+01,0.000000e+00,9.968167e-01,1.623562e-04,0.000000e+00
-1.746996e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.493991e-01,1.000000e+00,1.666669e-07,1.630597e-04,-1.952813e-05,0.000000e+00,-0.000000e+00,8.109572e+01,0.000000e+00,9.963242e-01,2.212138e-04,0.000000e+00
-1.715543e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.431085e-01,1.000000e+00,1.666669e-07,1.591773e-04,-1.914571e-05,0.000000e+00,-0.000000e+00,8.246749e+01,0.000000e+00,9.957569e-01,2.892730e-04,0.000000e+00
-1.683449e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.366897e-01,1.000000e+00,1.666669e-07,1.561842e-04,-1.887677e-05,0.000000e+00,-0.000000e+00,8.391001e+01,0.000000e+00,9.951155e-01,3.665929e-04,0.000000e+00
-1.649240e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.298480e-01,1.000000e+00,1.666669e-07,1.537792e-04,-1.868541e-05,0.000000e+00,-0.000000e+00,8.531065e+01,0.000000e+00,9.944003e-01,4.532379e-04,0.000000e+00
-1.613489e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.226978e-01,1.000000e+00,1.666669e-07,1.517821e-04,-1.855004e-05,0.000000e+00,-0.000000e+00,8.661433e+01,0.000000e+00,9.936120e-01,5.492771e-04,0.000000e+00
-1.576833e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.153666e-01,1.000000e+00,1.666669e-07,1.500817e-04,-1.845719e-05,0.000000e+00,-0.000000e+00,8.779526e+01,0.000000e+00,9.927512e-01,6.547831e-04,0.000000e+00
-1.539656e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.079312e-01,1.000000e+00,1.666669e-07,1.486062e-04,-1.839804e-05,0.000000e+00,-0.000000e+00,8.884292e+01,0.000000e+00,9.918186e-01,7.698313e-04,0.000000e+00
-1.502180e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.004360e-01,1.000000e+00,1.666669e-07,1.473077e-04,-1.836661e-05,0.000000e+00,-0.000000e+00,8.975516e+01,0.000000e+00,9.908149e-01,8.944987e-04,0.000000e+00
-1.464555e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.929109e-01,1.000000e+00,1.666669e-07,1.461532e-04,-1.835868e-05,0.000000e+00,-0.000000e+00,9.053448e+01,0.000000e+00,9.897411e-01,1.028863e-03,0.000000e+00
-1.426895e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.853790e-01,1.000000e+00,1.666669e-07,1.451193e-04,-1.837118e-05,0.000000e+00,-0.000000e+00,9.118608e+01,0.000000e+00,9.885978e-01,1.173001e-03,0.000000e+00
-1.389294e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.778587e-01,1.000000e+00,1.666669e-07,1.441888e-04,-1.840180e-05,0.000000e+00,-0.000000e+00,9.171661e+01,0.000000e+00,9.873860e-01,1.326990e-03,0.000000e+00
-1.351822e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.703644e-01,1.000000e+00,1.666669e-07,1.433490e-04,-1.844876e-05,0.000000e+00,-0.000000e+00,9.213351e+01,0.000000e+00,9.861069e-01,1.490902e-03,0.000000e+00
