"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    
          0,           0,           0,      -4.590300212,      -17.73819708,      -18.71963604,      -11.16195015
          0,           0,           1,      -4.880222035,      -4.643768877,      -4.537335551,      -11.03019436
          0,           0,           2,      -4.989326837,      -4.987059662,      -4.857915007,      -10.92248312
          0,           0,           3,      -5.167262403,      -5.147885126,      -5.013341933,      -10.77336599
          0,           0,           4,      -5.355879479,      -5.242062163,      -5.073963417,      -10.63161511
          0,           0,           5,      -5.439994106,       -5.31218391,      -5.151604964,      -10.50310484
          0,           0,           6,      -5.482864636,      -5.339617882,      -5.184361706,      -10.37388039
          0,           0,           7,      -5.514652772,      -5.351043399,      -5.209093165,      -10.25293816
          0,           0,           8,      -5.544588593,      -5.354391517,      -5.230922829,      -10.14873246
          0,           0,           9,      -5.568145649,      -5.354340831,      -5.246571351,      -10.05896965
          0,           0,          10,      -5.585456423,      -5.352388761,      -5.259622613,      -9.981642386
          0,           0,          11,      -5.598645935,      -5.352063736,      -5.271576876,      -9.919314051
          0,           0,          12,       -5.61087301,       -5.34959298,      -5.281413253,      -9.873478354
          0,           0,          13,      -5.621866838,      -5.343885525,       -5.28706408,      -9.842066142
          0,           0,          14,       -5.63023561,      -5.335254516,      -5.287994767,      -9.822601519
          0,           0,          15,      -5.635721391,      -5.324413506,      -5.284835525,      -9.813207956
          0,           0,          16,      -5.639460169,      -5.310537395,      -5.277951328,      -9.811808727
          0,           0,          17,      -5.642409704,      -5.295003158,      -5.267920025,      -9.816168135
          0,           0,          18,      -5.645282578,       -5.28058349,      -5.256935536,      -9.824317888
          0,           0,          19,      -5.648408138,      -5.268777667,      -5.247565966,      -9.834691419
          0,           0,          20,      -5.651741759,      -5.258797402,      -5.241184741,      -9.846208672
          0,           0,          21,      -5.654955188,      -5.249501144,      -5.237956871,       -9.85804834
          0,           0,          22,      -5.657772186,       -5.24071368,       -5.23753597,      -9.869546967
          0,           0,          23,      -5.660182455,      -5.232670278,       -5.23945137,      -9.879967605
          0,           0,          24,      -5.662289708,      -5.225541631,      -5.243134263,      -9.888535988
          0,           0,          25,      -5.664069529,       -5.21936104,      -5.247926688,      -9.894668465
          0,           0,          26,      -5.665395118,      -5.214140848,      -5.253190231,      -9.898094525
          0,           0,          27,      -5.666211958,      -5.209817702,      -5.258403202,      -9.898966964
          0,           0,          28,      -5.666584277,      -5.206177456,      -5.263200572,      -9.897767614
          0,           0,          29,      -5.666593479,      -5.202939993,      -5.267360318,      -9.895120269
          0,           0,          30,      -5.666281364,      -5.199914809,      -5.270797165,       -9.89159644
          0,           0,          31,      -5.665682662,      -5.196998138,      -5.273565607,      -9.887640647
          0,           0,          32,      -5.664834863,      -5.194127763,      -5.275775921,      -9.883532166
          0,           0,          33,      -5.663753026,      -5.191295812,      -5.277523282,      -9.879428313
          0,           0,          34,       -5.66242076,      -5.188548015,      -5.278901949,      -9.875417509
          0,           0,          35,      -5.660810841,      -5.185970774,      -5.280003335,      -9.871548015
          0,           0,          36,       -5.65891067,      -5.183668931,      -5.280894697,      -9.867842421
          0,           0,          37,      -5.656721709,      -5.181736169,      -5.281621421,      -9.864318944
          0,           0,          38,      -5.654248627,      -5.180248528,       -5.28220987,      -9.861004151
          0,           0,          39,      -5.651510358,      -5.179261399,      -5.282660042,      -9.857919437
          0,           0,          40,      -5.648557429,      -5.178790815,       -5.28294641,      -9.855064283
          0,           0,          41,      -5.645467441,      -5.178800392,      -5.283021959,       -9.85245806
          0,           0,          42,      -5.642330392,      -5.179223596,      -5.282816898,      -9.850105163
          0,           0,          43,      -5.639242625,      -5.179971206,      -5.282250405,      -9.847974883
          0,           0,          44,      -5.636298991,      -5.180936277,      -5.281242028,      -9.846038387
          0,           0,          45,      -5.633581962,       -5.18200633,      -5.279715526,      -9.844271951
          0,           0,          46,      -5.631246999,      -5.183047494,      -5.277578724,      -9.842616579
