"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    
          0,           0,           0,      -4.399747832,      -16.18536372,      -16.84270117,      -10.89603595
          0,           0,           1,      -4.511604076,      -4.231276013,      -4.304623989,       -10.9717175
          0,           0,           2,      -4.719012691,      -4.568335913,      -4.434076338,      -11.02862716
          0,           0,           3,      -4.816231982,       -4.71773577,      -4.567373666,      -11.02145441
          0,           0,           4,      -4.933562675,      -4.779845051,      -4.621929814,      -10.97663286
          0,           0,           5,      -5.015256212,      -4.817885319,      -4.663822944,      -10.93636577
          0,           0,           6,      -5.064423473,      -4.841991704,      -4.700362558,      -10.89817858
          0,           0,           7,       -5.09894664,      -4.858205242,      -4.729703616,      -10.85664667
          0,           0,           8,      -5.125378098,      -4.867632975,      -4.754315523,      -10.81319235
          0,           0,           9,      -5.147690015,      -4.870977574,      -4.774491999,      -10.76824749
          0,           0,          10,      -5.167637588,       -4.87002668,      -4.790769129,      -10.72258965
          0,           0,          11,      -5.185380609,      -4.866720317,      -4.804361001,      -10.67654208
          0,           0,          12,      -5.200642893,      -4.862466451,      -4.816370719,      -10.63020516
          0,           0,          13,      -5.213366783,      -4.858021824,      -4.827359897,      -10.58366712
          0,           0,          14,       -5.22381224,      -4.853658194,      -4.837477518,      -10.53704853
          0,           0,          15,      -5.232299957,      -4.849430735,      -4.846725919,       -10.4904485
          0,           0,          16,      -5.239147102,      -4.845323455,      -4.855096112,      -10.44393873
          0,           0,          17,      -5.244649548,       -4.84129748,      -4.862596949,      -10.39757113
          0,           0,          18,      -5.249042063,      -4.837328716,       -4.86926125,      -10.35138741
          0,           0,          19,      -5.252493397,      -4.833422181,      -4.875128925,      -10.30542481
          0,           0,          20,      -5.255148445,      -4.829590382,      -4.880229776,      -10.25971677
          0,           0,          21,       -5.25714033,      -4.825828097,      -4.884578394,      -10.21429331
          0,           0,          22,      -5.258604729,      -4.822109395,      -4.888175499,      -10.16918218
          0,           0,          23,      -5.259676779,      -4.818388006,      -4.891015361,      -10.12441104
          0,           0,          24,      -5.260476133,      -4.814603426,      -4.893096966,       -10.0800151
          0,           0,          25,      -5.261211974,      -4.810663457,      -4.894387983,      -10.03616047
          0,           0,          26,      -5.262045763,      -4.806450705,      -4.894825641,      -9.992936159
          0,           0,          27,      -5.262966341,      -4.801861659,      -4.894367069,       -9.95039609
          0,           0,          28,      -5.263729803,      -4.796798699,      -4.892982223,      -9.908583274
          0,           0,          29,      -5.263825061,      -4.791146573,      -4.890609266,       -9.86753467
          0,           0,          30,      -5.262492671,      -4.784756334,      -4.887098814,      -9.827284876
          0,           0,          31,      -5.258885605,      -4.777462548,      -4.882180169,      -9.787865411
          0,           0,          32,      -5.252428829,      -4.769143303,      -4.875491693,      -9.749303861
          0,           0,          33,      -5.243235234,      -4.759811495,      -4.866705675,      -9.711626432
          0,           0,          34,      -5.232266846,      -4.749687203,      -4.855715777,       -9.67486085
          0,           0,          35,      -5.221031583,      -4.739180831,      -4.842781661,      -9.639026015
          0,           0,          36,      -5.210971646,       -4.72876811,      -4.828522232,      -9.604139578
          0,           0,          37,      -5.202941213,      -4.718816944,      -4.813737105,      -9.570220256
          0,           0,          38,      -5.197033201,      -4.709470767,      -4.799161438,      -9.537288144
