"Pressure","Velocity:0","Velocity:1","Velocity:2","Nu_Tilde","Pressure_Coefficient","Density","Laminar_Viscosity","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Heat_Flux","Y_Plus","Eddy_Viscosity","Points:0","Points:1","Points:2"
-0.027158,0,0,0,0,-0.054316,1,1.6667e-07,0,-2.8118e-05,0,-0,21.87,0,0.75,0,0
-0.014389,0,0,0,0,-0.028778,1,1.6667e-07,6.9851e-05,1.0147e-05,0,-0,85.096,0,0.74977,-3.3151e-05,0
-0.011922,0,0,0,0,-0.023844,1,1.6667e-07,6.3106e-05,9.1589e-06,0,-0,90.375,0,0.74909,-0.00013251,0
-0.0089171,0,0,0,0,-0.017834,1,1.6667e-07,6.1271e-05,8.8794e-06,0,-0,96.389,0,0.74795,-0.00029782,0
-0.0056717,0,0,0,0,-0.011343,1,1.6667e-07,6.0894e-05,8.8067e-06,0,-0,101.26,0,0.74635,-0.00052863,0
-0.0029449,0,0,0,0,-0.0058899,1,1.6667e-07,6.1099e-05,8.8129e-06,0,-0,104.84,0,0.74431,-0.00082433,0
-0.00079093,0,0,0,0,-0.0015819,1,1.6667e-07,6.1527e-05,8.846e-06,0,-0,107.35,0,0.74181,-0.0011841,0
0.00090894,0,0,0,0,0.0018179,1,1.6667e-07,6.2006e-05,8.8812e-06,0,-0,109,0,0.73886,-0.0016071,0
0.0022252,0,0,0,0,0.0044504,1,1.6667e-07,6.2458e-05,8.9069e-06,0,-0,110.02,0,0.73547,-0.0020921,0
0.0031853,0,0,0,0,0.0063706,1,1.6667e-07,6.285e-05,8.9189e-06,0,-0,110.56,0,0.73164,-0.0026378,0
0.0038557,0,0,0,0,0.0077114,1,1.6667e-07,6.3184e-05,8.9175e-06,0,-0,110.74,0,0.72736,-0.003243,0
0.0043121,0,0,0,0,0.0086242,1,1.6667e-07,6.3475e-05,8.905e-06,0,-0,110.65,0,0.72265,-0.003906,0
0.004622,0,0,0,0,0.0092441,1,1.6667e-07,6.3741e-05,8.8841e-06,0,-0,110.35,0,0.71751,-0.0046252,0
0.0048398,0,0,0,0,0.0096795,1,1.6667e-07,6.3996e-05,8.8571e-06,0,-0,109.89,0,0.71194,-0.0053988,0
0.0050096,0,0,0,0,0.010019,1,1.6667e-07,6.4252e-05,8.8257e-06,0,-0,109.3,0,0.70595,-0.0062249,0
0.0051599,0,0,0,0,0.01032,1,1.6667e-07,6.4515e-05,8.791e-06,0,-0,108.59,0,0.69954,-0.0071015,0
0.005308,0,0,0,0,0.010616,1,1.6667e-07,6.479e-05,8.7536e-06,0,-0,107.8,0,0.69273,-0.0080265,0
0.0054643,0,0,0,0,0.010929,1,1.6667e-07,6.5079e-05,8.7139e-06,0,-0,106.91,0,0.68551,-0.0089978,0
0.0056351,0,0,0,0,0.01127,1,1.6667e-07,6.5382e-05,8.6722e-06,0,-0,105.96,0,0.67789,-0.010013,0
0.005825,0,0,0,0,0.01165,1,1.6667e-07,6.57e-05,8.6286e-06,0,-0,104.94,0,0.66988,-0.01107,0
0.0060376,0,0,0,0,0.012075,1,1.6667e-07,6.6033e-05,8.5832e-06,0,-0,103.86,0,0.66149,-0.012167,0
0.006276,0,0,0,0,0.012552,1,1.6667e-07,6.6383e-05,8.5363e-06,0,-0,102.74,0,0.65273,-0.013301,0
0.0065429,0,0,0,0,0.013086,1,1.6667e-07,6.6748e-05,8.4878e-06,0,-0,101.59,0,0.64359,-0.014469,0
0.0068409,0,0,0,0,0.013682,1,1.6667e-07,6.7131e-05,8.438e-06,0,-0,100.41,0,0.6341,-0.015669,0
0.0071725,0,0,0,0,0.014345,1,1.6667e-07,6.7531e-05,8.3868e-06,0,-0,99.228,0,0.62426,-0.016899,0
0.0075399,0,0,0,0,0.01508,1,1.6667e-07,6.7949e-05,8.3344e-06,0,-0,98.043,0,0.61407,-0.018157,0
0.007945,0,0,0,0,0.01589,1,1.6667e-07,6.8385e-05,8.2808e-06,0,-0,96.868,0,0.60355,-0.019438,0
0.0083896,0,0,0,0,0.016779,1,1.6667e-07,6.8842e-05,8.2261e-06,0,-0,95.713,0,0.59271,-0.020743,0
0.0088755,0,0,0,0,0.017751,1,1.6667e-07,6.9319e-05,8.1703e-06,0,-0,94.584,0,0.58156,-0.022066,0
0.0094041,0,0,0,0,0.018808,1,1.6667e-07,6.9817e-05,8.1132e-06,0,-0,93.488,0,0.57011,-0.023407,0
0.0099767,0,0,0,0,0.019953,1,1.6667e-07,7.0337e-05,8.055e-06,0,-0,92.426,0,0.55836,-0.024763,0
0.010594,0,0,0,0,0.021189,1,1.6667e-07,7.0881e-05,7.9955e-06,0,-0,91.403,0,0.54633,-0.02613,0
0.011258,0,0,0,0,0.022517,1,1.6667e-07,7.1449e-05,7.9345e-06,0,-0,90.415,0,0.53403,-0.027507,0
0.011969,0,0,0,0,0.023939,1,1.6667e-07,7.2043e-05,7.8719e-06,0,-0,89.463,0,0.52147,-0.02889,0
0.012729,0,0,0,0,0.025457,1,1.6667e-07,7.2662e-05,7.8074e-06,0,-0,88.543,0,0.50867,-0.030278,0
0.013537,0,0,0,0,0.027073,1,1.6667e-07,7.331e-05,7.7409e-06,0,-0,87.651,0,0.49563,-0.031668,0
0.014395,0,0,0,0,0.02879,1,1.6667e-07,7.3986e-05,7.6719e-06,0,-0,86.782,0,0.48236,-0.033056,0
0.015304,0,0,0,0,0.030608,1,1.6667e-07,7.4693e-05,7.6001e-06,0,-0,85.933,0,0.46888,-0.034441,0
0.016266,0,0,0,0,0.032531,1,1.6667e-07,7.5431e-05,7.5251e-06,0,-0,85.098,0,0.45521,-0.035819,0
0.017282,0,0,0,0,0.034563,1,1.6667e-07,7.6203e-05,7.4465e-06,0,-0,84.274,0,0.44134,-0.037188,0
0.018354,0,0,0,0,0.036707,1,1.6667e-07,7.701e-05,7.3636e-06,0,-0,83.456,0,0.4273,-0.038546,0
0.019485,0,0,0,0,0.03897,1,1.6667e-07,7.7854e-05,7.2761e-06,0,-0,82.644,0,0.4131,-0.039889,0
0.020678,0,0,0,0,0.041356,1,1.6667e-07,7.8738e-05,7.1831e-06,0,-0,81.833,0,0.39875,-0.041214,0
0.021936,0,0,0,0,0.043873,1,1.6667e-07,7.9664e-05,7.084e-06,0,-0,81.023,0,0.38427,-0.042519,0
0.023265,0,0,0,0,0.046529,1,1.6667e-07,8.0633e-05,6.978e-06,0,-0,80.212,0,0.36966,-0.043801,0
0.024667,0,0,0,0,0.049335,1,1.6667e-07,8.165e-05,6.8641e-06,0,-0,79.399,0,0.35494,-0.045057,0
0.026151,0,0,0,0,0.052301,1,1.6667e-07,8.2715e-05,6.7415e-06,0,-0,78.583,0,0.34013,-0.046284,0
0.02772,0,0,0,0,0.055441,1,1.6667e-07,8.3833e-05,6.6091e-06,0,-0,77.765,0,0.32523,-0.047478,0
0.029384,0,0,0,0,0.058767,1,1.6667e-07,8.5005e-05,6.4656e-06,0,-0,76.944,0,0.31027,-0.048638,0
0.031148,0,0,0,0,0.062297,1,1.6667e-07,8.6235e-05,6.3099e-06,0,-0,76.12,0,0.29525,-0.049759,0
0.033024,0,0,0,0,0.066047,1,1.6667e-07,8.7526e-05,6.1403e-06,0,-0,75.293,0,0.28019,-0.050839,0
0.035018,0,0,0,0,0.070037,1,1.6667e-07,8.8881e-05,5.9555e-06,0,-0,74.462,0,0.2651,-0.051874,0
0.037144,0,0,0,0,0.074288,1,1.6667e-07,9.0303e-05,5.7538e-06,0,-0,73.629,0,0.25,-0.052862,0
0.039411,0,0,0,0,0.078822,1,1.6667e-07,9.1796e-05,5.5332e-06,0,-0,72.792,0,0.2349,-0.053798,0
