"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    
          0,           0,           0,      -4.374297852,      -17.10430897,      -18.15217621,      -10.93564836
          0,           0,           1,      -4.730375553,      -4.453499467,      -4.317817223,      -10.76894178
          0,           0,           2,      -4.765402092,      -4.845740947,       -4.67845328,      -10.63810748
          0,           0,           3,      -4.942716594,      -5.052734372,       -4.85125759,      -10.45947096
          0,           0,           4,      -5.160284585,      -5.100833386,      -4.915136881,       -10.2858811
          0,           0,           5,      -5.222595636,      -5.177214011,      -4.987631434,      -10.12366702
          0,           0,           6,      -5.249623982,        -5.1897765,      -5.014603104,      -9.970826109
          0,           0,           7,       -5.26656647,      -5.188998269,      -5.034946531,      -9.831482883
          0,           0,           8,      -5.279067821,      -5.183442255,      -5.051469737,      -9.709085822
          0,           0,           9,      -5.288552229,      -5.174787379,      -5.065207068,      -9.607343956
          0,           0,          10,      -5.295660111,      -5.163735959,       -5.07623021,      -9.528880455
          0,           0,          11,      -5.300593814,      -5.150667226,      -5.084045618,      -9.474354948
          0,           0,          12,      -5.303385741,      -5.135593256,       -5.08814945,      -9.442101206
          0,           0,          13,      -5.304518181,      -5.117802117,      -5.088307728,      -9.428283141
          0,           0,          14,      -5.304628704,      -5.096107131,      -5.084640523,      -9.427246977
          0,           0,          15,      -5.303372347,      -5.070400643,      -5.077737999,      -9.433067907
          0,           0,          16,      -5.300019834,       -5.04210315,       -5.06816861,      -9.441292858
          0,           0,          17,      -5.294652567,      -5.013597625,       -5.05616264,      -9.449422215
          0,           0,          18,      -5.288744971,      -4.987543302,      -5.042534667,       -9.45636318
          0,           0,          19,      -5.283772661,      -4.965570428,      -5.029193514,      -9.461601167
          0,           0,          20,      -5.279575916,      -4.947692926,      -5.017930345,      -9.464878361
          0,           0,          21,      -5.275399667,      -4.933146467,      -5.009273328,      -9.466219822
          0,           0,          22,      -5.270883623,      -4.921373805,      -5.002796154,      -9.465968441
          0,           0,          23,       -5.26601428,      -4.912062756,      -4.997787782,      -9.464606737
