"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    
          0,           0,           0,      -4.312114722,       -16.7957516,      -18.89390728,       -10.8703835
          0,           0,           1,       -4.66607971,      -4.397670582,       -4.24893505,      -10.70735916
          0,           0,           2,      -4.701625105,      -4.774793598,      -4.586959289,      -10.58395974
          0,           0,           3,       -4.86831983,      -4.954433258,      -4.754380248,      -10.41695469
          0,           0,           4,      -5.065376973,      -4.974355559,      -4.811030247,      -10.25952627
          0,           0,           5,      -5.118246988,       -5.02059016,      -4.876037867,      -10.10928702
          0,           0,           6,      -5.142036584,      -5.020939829,      -4.898472711,      -9.961935597
          0,           0,           7,      -5.157078068,      -5.012970106,      -4.915725645,      -9.821109167
          0,           0,           8,      -5.168092481,      -5.003737124,       -4.93023072,      -9.687732674
          0,           0,           9,      -5.176494409,      -4.994634178,      -4.942897708,      -9.563176303
          0,           0,          10,      -5.182905381,      -4.986114965,      -4.954305835,      -9.449557598
          0,           0,          11,      -5.187716459,      -4.978221668,      -4.964726483,      -9.349648054
          0,           0,          12,      -5.191137236,      -4.970912377,      -4.974352283,       -9.26623805
          0,           0,          13,      -5.193336552,      -4.964187001,      -4.983328214,      -9.201561455
          0,           0,          14,      -5.194412751,      -4.958164032,      -4.991771704,      -9.156139599
          0,           0,          15,      -5.194464866,      -4.953061162,      -4.999773174,      -9.127778804
          0,           0,          16,      -5.193570329,       -4.94909453,      -5.007398836,      -9.111463013
          0,           0,          17,      -5.191794499,      -4.946385475,      -5.014701166,      -9.101345452
          0,           0,          18,      -5.189210152,      -4.944898024,      -5.021712919,      -9.093754924
          0,           0,          19,      -5.186380766,      -4.944163483,      -5.028298263,      -9.088276498
          0,           0,          20,      -5.183676207,      -4.943591072,      -5.034228611,      -9.085618406
          0,           0,          21,      -5.181101312,      -4.943015107,       -5.03940225,      -9.085419849
          0,           0,          22,      -5.178544162,      -4.942501914,      -5.043824939,      -9.086009423
          0,           0,          23,      -5.175888058,      -4.942114621,      -5.047550179,       -9.08574883
          0,           0,          24,      -5.173055915,      -4.941860521,      -5.050649464,       -9.08426723
          0,           0,          25,      -5.170012837,      -4.941694858,      -5.053192827,      -9.082441422
          0,           0,          26,      -5.166748047,      -4.941554783,      -5.055244737,       -9.08130707
          0,           0,          27,        -5.1632557,      -4.941390659,      -5.056868124,      -9.081094441
          0,           0,          28,      -5.159723324,      -4.941021401,      -5.058042413,       -9.08113601
          0,           0,          29,      -5.156285598,      -4.940211261,       -5.05872023,      -9.080599296
          0,           0,          30,      -5.152942516,      -4.938900732,      -5.058906785,       -9.07925952
          0,           0,          31,      -5.149620822,      -4.937168461,      -5.058653171,      -9.077589285
          0,           0,          32,       -5.14622386,      -4.935140937,      -5.058033258,      -9.076267356
          0,           0,          33,      -5.142668528,      -4.932939253,      -5.057121062,      -9.075581818
          0,           0,          34,      -5.138899319,      -4.930652987,      -5.055974528,      -9.075289522
          0,           0,          35,      -5.134888136,      -4.928337555,      -5.054628445,      -9.074909385
          0,           0,          36,      -5.130640937,      -4.926010447,      -5.053087564,      -9.074210161
          0,           0,          37,      -5.126266547,      -4.923589014,      -5.051287733,      -9.073328662
          0,           0,          38,      -5.121828052,      -4.920982691,       -5.04916134,      -9.072620058
          0,           0,          39,      -5.117335144,      -4.918191261,      -5.046663331,      -9.072306761
          0,           0,          40,      -5.112773916,      -4.915261952,      -5.043765768,      -9.072343438
          0,           0,          41,      -5.108120862,      -4.912253441,      -5.040456215,      -9.072519831
          0,           0,          42,      -5.103355721,      -4.909217005,      -5.036733472,      -9.072682571
          0,           0,          43,      -5.098466538,      -4.906186442,      -5.032603817,      -9.072838606
          0,           0,          44,       -5.09345158,      -4.903176304,      -5.028077599,      -9.073107061
          0,           0,          45,      -5.088319202,       -4.90018315,      -5.023166511,      -9.073581974
          0,           0,          46,      -5.083079708,      -4.897194067,      -5.017886133,      -9.074267215
          0,           0,          47,      -5.077749541,      -4.894188848,      -5.012251496,      -9.075105985
          0,           0,          48,      -5.072345987,      -4.891141667,      -5.006278702,      -9.076052754
          0,           0,          49,       -5.06689331,      -4.888020116,      -4.999979414,      -9.077105284
          0,           0,          50,      -5.061414713,      -4.884788071,      -4.993364829,      -9.078289276
          0,           0,          51,      -5.055930048,       -4.88141307,      -4.986446286,      -9.079623339
          0,           0,          52,      -5.050453193,      -4.877869227,       -4.97923678,      -9.081108451
          0,           0,          53,      -5.044993287,      -4.874137509,      -4.971750164,      -9.082737238
          0,           0,          54,      -5.039552368,      -4.870206608,      -4.964003227,      -9.084506152
          0,           0,          55,      -5.034126231,      -4.866073827,      -4.956015475,      -9.086417264
          0,           0,          56,      -5.028707854,      -4.861741976,      -4.947807256,       -9.08847405
          0,           0,          57,      -5.023293036,      -4.857213709,      -4.939396187,      -9.090674857
          0,           0,          58,      -5.017879655,      -4.852490401,      -4.930798316,      -9.093019126
          0,           0,          59,      -5.012462129,      -4.847579089,      -4.922032725,      -9.095504513
          0,           0,          60,      -5.007033153,      -4.842496002,      -4.913120759,      -9.098128472
          0,           0,          61,      -5.001583948,      -4.837267019,      -4.904087425,      -9.100891536
          0,           0,          62,      -4.996106668,      -4.831927721,      -4.894960912,       -9.10378839
          0,           0,          63,      -4.990595905,      -4.826522784,      -4.885772746,      -9.106817674
          0,           0,          64,      -4.985049071,      -4.821106156,      -4.876558297,      -9.109976522
          0,           0,          65,      -4.979470092,      -4.815737659,      -4.867353449,      -9.113251545
          0,           0,          66,      -4.973865635,      -4.810481278,      -4.858196616,      -9.116647887
          0,           0,          67,      -4.968238294,      -4.805406809,      -4.849131634,       -9.12014138
          0,           0,          68,      -4.962585328,      -4.800584812,       -4.84020461,      -9.123738675
          0,           0,          69,       -4.95689951,      -4.796073695,      -4.831458837,      -9.127414318
          0,           0,          70,      -4.951171016,      -4.791903323,      -4.822927836,      -9.131179825
          0,           0,          71,      -4.945389668,      -4.788057515,      -4.814627346,       -9.13499668
          0,           0,          72,      -4.939547101,      -4.784458247,      -4.806547305,      -9.138887436
          0,           0,          73,      -4.933638662,      -4.780954921,      -4.798645123,       -9.14280438
          0,           0,          74,      -4.927664911,      -4.777322799,      -4.790841816,      -9.146776647
          0,           0,          75,       -4.92163254,      -4.773274954,      -4.783023001,      -9.150753456
          0,           0,          76,      -4.915555222,      -4.768490659,      -4.775044983,      -9.154750856
          0,           0,          77,       -4.90945483,      -4.762659763,      -4.766744766,      -9.158752881
          0,           0,          78,       -4.90335668,      -4.755541682,      -4.757966023,      -9.162720084
          0,           0,          79,      -4.897285486,      -4.747026074,        -4.7485837,      -9.166686914
          0,           0,          80,      -4.891263194,      -4.737172916,      -4.738528321,      -9.170588523
          0,           0,          81,      -4.885306481,      -4.726222764,      -4.727805732,      -9.174440693
          0,           0,          82,      -4.879423933,         -4.714574,      -4.716507553,      -9.178241511
          0,           0,          83,      -4.873613538,      -4.702734425,      -4.704809384,      -9.181925813
          0,           0,          84,      -4.867861085,      -4.691261377,      -4.692956893,      -9.185512477
          0,           0,          85,      -4.862139878,      -4.680704833,      -4.681242957,      -9.189002827
          0,           0,          86,      -4.856411958,      -4.671562913,      -4.669980687,      -9.192338738
          0,           0,          87,      -4.850630878,      -4.664252702,       -4.65947706,      -9.195501639
          0,           0,          88,      -4.844745839,      -4.659094328,      -4.650010544,      -9.198501912
          0,           0,          89,      -4.838706797,       -4.65630385,      -4.641814231,      -9.201311999
          0,           0,          90,      -4.832469989,      -4.655990187,      -4.635064442,      -9.203908132
          0,           0,          91,      -4.826003278,      -4.658152042,      -4.629873693,      -9.206260107
          0,           0,          92,      -4.819290704,      -4.662671985,      -4.626286585,      -9.208361778
          0,           0,          93,       -4.81233571,      -4.669306254,      -4.624277244,      -9.210201826
          0,           0,          94,      -4.805162753,      -4.677670815,      -4.623747529,      -9.211773311
          0,           0,          95,      -4.797817416,      -4.687227135,      -4.624527761,      -9.213036932
          0,           0,          96,       -4.79036611,       -4.69726899,      -4.626366651,      -9.214021611
          0,           0,          97,      -4.782893716,      -4.706932581,      -4.628935852,      -9.214690142
          0,           0,          98,      -4.775492025,      -4.715251725,      -4.631840423,      -9.215025011
          0,           0,          99,      -4.768255045,      -4.721256228,      -4.634634179,      -9.215058131
          0,           0,         100,      -4.761278457,      -4.724117173,      -4.636834028,       -9.21478405
          0,           0,         101,      -4.754653662,      -4.723305857,      -4.637969855,      -9.214208042
          0,           0,         102,      -4.748462383,      -4.718724231,      -4.637639901,      -9.213318438
          0,           0,         103,      -4.742775442,      -4.710734209,      -4.635570588,      -9.212125027
          0,           0,         104,      -4.737652042,      -4.700076732,       -4.63166875,      -9.210642247
          0,           0,         105,      -4.733138569,      -4.687716263,      -4.626049695,      -9.208897856
          0,           0,         106,      -4.729266045,      -4.674670061,      -4.619028148,      -9.206886077
          0,           0,         107,      -4.726045084,      -4.661868193,      -4.611069065,      -9.204632194
          0,           0,         108,      -4.723457335,      -4.650060358,      -4.602706291,      -9.202143044
          0,           0,         109,       -4.72144331,      -4.639762277,      -4.594443636,      -9.199431685
          0,           0,         110,      -4.719888441,      -4.631226253,      -4.586653425,       -9.19652796
          0,           0,         111,      -4.718611953,      -4.624424627,      -4.579485415,      -9.193442487
          0,           0,         112,      -4.717366141,      -4.619045637,      -4.572799698,      -9.190188705
          0,           0,         113,      -4.715855352,      -4.614514124,      -4.566143883,      -9.186786197
          0,           0,         114,      -4.713781989,      -4.610059433,      -4.558804079,      -9.183246682
          0,           0,         115,      -4.710918925,      -4.604850832,      -4.549957478,      -9.179586457
          0,           0,         116,      -4.707194336,      -4.598196465,      -4.538922551,      -9.175821106
          0,           0,         117,      -4.702762493,      -4.589757232,      -4.525438638,      -9.171967879
          0,           0,         118,      -4.698032106,      -4.579691075,      -4.509852934,      -9.168029261
          0,           0,         119,      -4.693637726,      -4.568657589,       -4.49311635,      -9.164023517
          0,           0,         120,      -4.690362558,      -4.557681874,      -4.476595281,      -9.159966937
          0,           0,         121,      -4.689038336,      -4.547947048,      -4.461805323,      -9.155864715
          0,           0,         122,      -4.690449832,      -4.540601599,      -4.450184285,       -9.15172727
          0,           0,         123,      -4.695260774,      -4.536632969,      -4.442962385,      -9.147566274
          0,           0,         124,      -4.703963834,      -4.536813159,      -4.441124734,      -9.143391033
          0,           0,         125,      -4.716847409,      -4.541695652,      -4.445432832,      -9.139207371
          0,           0,         126,      -4.733968061,      -4.551637659,      -4.456472121,      -9.135024984
          0,           0,         127,      -4.755118781,      -4.566827708,      -4.474703708,      -9.130847944
          0,           0,         128,      -4.779788335,      -4.587303467,       -4.50050793,      -9.126682066
          0,           0,         129,       -4.80711685,      -4.612950128,      -4.534210915,      -9.122532781
          0,           0,         130,      -4.835869167,      -4.643467597,      -4.576081388,      -9.118400453
          0,           0,         131,      -4.864469206,      -4.678291719,      -4.626269304,      -9.114290696
          0,           0,         132,      -4.891151965,      -4.716451986,      -4.684620296,      -9.110204548
          0,           0,         133,      -4.914264024,      -4.756357268,      -4.750222351,      -9.106141243
          0,           0,         134,      -4.932653243,      -4.795548999,      -4.820423678,      -9.102103282
          0,           0,         135,      -4.945977343,      -4.830588017,      -4.889102752,       -9.09809022
          0,           0,         136,      -4.954751806,      -4.857420828,      -4.945112143,      -9.094102106
          0,           0,         137,      -4.960108868,      -4.872525812,       -4.97503465,      -9.090137852
          0,           0,         138,      -4.963419293,      -4.874460623,      -4.973120451,      -9.086196796
          0,           0,         139,      -4.965966727,      -4.864591859,      -4.946993244,      -9.082278109
          0,           0,         140,      -4.968768249,      -4.846279257,      -4.909614838,      -9.078380402
          0,           0,         141,      -4.972529524,      -4.823319357,      -4.870489842,      -9.074502611
          0,           0,         142,      -4.977679482,      -4.798843799,      -4.834303246,        -9.0706435
          0,           0,         143,      -4.984434875,      -4.774994749,      -4.802737568,      -9.066801451
          0,           0,         144,      -4.992865521,      -4.753059153,       -4.77606218,      -9.062975004
          0,           0,         145,      -5.002947891,      -4.733725866,      -4.753985665,      -9.059163433
          0,           0,         146,      -5.014604229,      -4.717309665,      -4.736043154,        -9.0553652
          0,           0,         147,      -5.027728514,      -4.703907312,      -4.721757458,      -9.051579173
          0,           0,         148,      -5.042201838,       -4.69349584,      -4.710699451,      -9.047804863
