"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    
          0,           0,           0,      -4.242394896,      -16.22967983,      -16.96878297,      -11.00332291
          0,           0,           1,      -4.625872804,      -4.403418595,      -4.190435952,      -10.89806273
          0,           0,           2,      -4.689317094,      -4.797213869,      -4.541561511,      -10.82718999
          0,           0,           3,      -4.863008006,      -4.989625666,      -4.724962023,      -10.65799492
          0,           0,           4,       -5.07924389,      -5.058555714,      -4.773127737,      -10.50275138
          0,           0,           5,      -5.141585391,      -5.116725334,      -4.838030317,      -10.38194959
          0,           0,           6,      -5.170342576,      -5.139668414,      -4.858523509,      -10.28633768
          0,           0,           7,      -5.188696138,      -5.151155019,      -4.873015715,      -10.22315085
          0,           0,           8,      -5.202593216,      -5.157809866,        -4.8843098,      -10.18851177
          0,           0,           9,      -5.213408974,      -5.161579616,       -4.89379006,      -10.17232944
          0,           0,          10,      -5.221869223,      -5.163735157,      -4.902059418,       -10.1650766
          0,           0,          11,      -5.228405661,      -5.164859268,        -4.9094188,      -10.16189094
          0,           0,          12,      -5.234153471,      -5.164750482,      -4.915697879,      -10.16169525
          0,           0,          13,      -5.239564632,      -5.163113891,      -4.920629609,      -10.16358266
          0,           0,          14,      -5.244539155,      -5.160206408,       -4.92427402,      -10.16565702
          0,           0,          15,      -5.248895682,      -5.156071445,       -4.92677036,      -10.16645372
          0,           0,          16,      -5.252676854,      -5.150397775,      -4.928144199,      -10.16616993
          0,           0,          17,       -5.25591092,      -5.142861326,      -4.928380759,      -10.16588246
          0,           0,          18,      -5.258588108,         -5.133378,      -4.927559293,       -10.1660346
          0,           0,          19,      -5.260713012,      -5.122008205,      -4.925873406,       -10.1660827
          0,           0,          20,       -5.26231741,      -5.108930494,      -4.923616861,      -10.16530295
          0,           0,          21,      -5.263443921,      -5.094438624,      -4.921135138,      -10.16364767
          0,           0,          22,      -5.264184188,      -5.078839208,      -4.918725739,      -10.16170933
          0,           0,          23,      -5.264585659,      -5.062478544,      -4.916591106,      -10.16005411
          0,           0,          24,      -5.264596397,      -5.045752393,      -4.914816491,      -10.15869754
          0,           0,          25,      -5.264068388,       -5.02904506,      -4.913349977,      -10.15719649
